timestamp,action
2025-07-08 11:57:47,scale_up
2025-07-08 11:57:56,hold
2025-07-08 11:58:07,hold
2025-07-08 11:58:17,scale_up
2025-07-08 11:58:28,scale_up
2025-07-08 11:58:38,hold
2025-07-08 11:58:49,scale_up
2025-07-08 11:58:59,hold
2025-07-08 11:59:10,hold
2025-07-08 11:59:21,hold
2025-07-08 11:59:31,scale_up
2025-07-08 11:59:42,scale_up
2025-07-08 11:59:53,scale_up
2025-07-08 12:00:03,hold
2025-07-08 12:00:14,scale_up
2025-07-08 12:00:24,scale_up
2025-07-08 12:00:35,hold
2025-07-08 12:00:45,scale_up
2025-07-08 12:00:56,hold
2025-07-08 12:01:06,scale_up
2025-07-08 12:01:17,hold
2025-07-08 12:01:27,hold
2025-07-08 12:01:38,hold
2025-07-08 12:01:49,hold
2025-07-08 12:01:59,hold
2025-07-08 12:02:10,hold
2025-07-08 12:02:20,hold
2025-07-08 12:02:31,hold
2025-07-08 12:02:41,hold
2025-07-08 12:02:52,hold
2025-07-08 12:03:03,hold
2025-07-08 12:03:13,scale_up
2025-07-08 12:03:24,scale_up
2025-07-08 12:03:34,hold
2025-07-08 12:03:45,scale_up
2025-07-08 12:03:55,hold
2025-07-08 12:04:06,scale_up
2025-07-08 12:04:16,hold
2025-07-08 12:04:27,scale_up
2025-07-08 12:04:37,hold
2025-07-08 12:04:48,hold
2025-07-08 12:04:58,hold
2025-07-08 12:05:09,scale_up
2025-07-08 12:05:19,hold
2025-07-08 12:05:30,scale_up
2025-07-08 12:05:40,scale_up
2025-07-08 12:05:50,scale_up
2025-07-08 12:06:01,hold
2025-07-08 12:06:11,scale_up
2025-07-08 12:06:22,scale_up
2025-07-08 12:06:32,hold
2025-07-08 12:06:43,hold
2025-07-08 12:06:54,scale_up
2025-07-08 12:07:04,scale_up
2025-07-08 12:07:15,hold
2025-07-08 12:07:25,scale_up
2025-07-08 12:21:54,scale_up
2025-07-08 12:22:15,hold
2025-07-08 12:22:29,scale_up
2025-07-08 12:22:49,hold
2025-07-08 12:22:53,hold
2025-07-08 12:23:58,hold
2025-07-08 12:24:06,hold
2025-07-08 12:24:27,scale_up
2025-07-08 12:24:44,scale_up
2025-07-08 12:25:04,hold
2025-07-08 12:25:05,hold
2025-07-08 12:25:20,scale_up
2025-07-08 12:25:40,scale_up
2025-07-08 12:26:01,hold
2025-07-08 12:26:21,scale_up
2025-07-08 12:26:41,hold
2025-07-08 12:26:46,hold
2025-07-08 12:27:06,hold
2025-07-08 12:27:27,scale_up
2025-07-08 12:27:47,scale_up
2025-07-08 12:28:07,hold
2025-07-08 12:28:28,hold
2025-07-08 12:28:48,hold
2025-07-08 12:29:08,hold
2025-07-08 12:29:29,scale_up
2025-07-08 12:29:49,hold
2025-07-08 12:30:09,hold
2025-07-08 12:30:30,scale_up
2025-07-08 12:30:50,hold
2025-07-08 12:31:10,scale_up
2025-07-08 12:31:31,scale_up
2025-07-08 12:31:51,scale_up
2025-07-08 12:32:11,hold
2025-07-08 12:32:32,hold
2025-07-08 12:32:52,hold
2025-07-08 12:33:12,hold
2025-07-08 12:33:33,hold
2025-07-08 12:33:53,hold
2025-07-08 12:34:13,scale_up
2025-07-08 12:34:34,hold
2025-07-08 12:34:54,hold
2025-07-08 12:35:14,hold
2025-07-08 12:35:35,hold
2025-07-08 12:35:55,hold
2025-07-08 12:36:15,hold
2025-07-08 12:36:36,hold
2025-07-08 12:36:56,scale_up
2025-07-08 12:37:17,hold
2025-07-08 12:37:37,hold
2025-07-08 12:37:58,hold
2025-07-08 12:44:20,scale_up
2025-07-08 12:44:31,hold
2025-07-08 12:44:42,scale_up
2025-07-08 12:44:52,hold
2025-07-08 12:45:02,hold
2025-07-08 12:45:13,scale_up
2025-07-08 12:45:24,hold
2025-07-08 12:45:27,hold
2025-07-08 12:45:37,hold
2025-07-08 12:45:48,hold
2025-07-08 12:45:59,scale_up
2025-07-08 12:46:09,hold
2025-07-08 12:46:20,hold
2025-07-08 12:46:30,hold
2025-07-08 12:46:40,scale_up
2025-07-08 12:46:51,hold
2025-07-08 12:47:01,hold
2025-07-08 12:50:10,scale_up
2025-07-08 12:50:21,scale_up
2025-07-08 12:50:31,scale_up
2025-07-08 12:50:41,scale_up
2025-07-08 12:50:52,hold
2025-07-08 12:51:02,hold
2025-07-08 12:51:13,hold
2025-07-08 12:51:24,hold
2025-07-08 12:51:34,hold
2025-07-08 12:51:45,hold
2025-07-08 12:51:55,scale_up
2025-07-08 12:52:06,scale_up
2025-07-08 12:52:16,hold
2025-07-08 12:52:26,hold
2025-07-08 12:52:37,hold
2025-07-08 12:52:47,hold
2025-07-08 12:52:58,hold
2025-07-08 12:53:08,scale_up
2025-07-08 12:53:19,hold
2025-07-08 12:53:29,hold
2025-07-08 12:53:40,scale_up
2025-07-08 12:53:50,hold
2025-07-08 12:54:01,hold
2025-07-08 12:54:12,hold
2025-07-08 12:54:22,hold
2025-07-08 12:54:33,hold
2025-07-08 12:54:44,hold
2025-07-08 12:54:54,scale_up
2025-07-08 12:55:05,hold
2025-07-08 12:55:16,hold
2025-07-08 12:55:26,hold
2025-07-08 12:55:37,hold
2025-07-08 12:55:47,hold
2025-07-08 12:55:58,scale_up
2025-07-08 12:56:08,scale_up
2025-07-08 12:56:19,hold
2025-07-08 12:56:30,hold
2025-07-08 12:56:40,hold
2025-07-08 12:56:51,hold
2025-07-08 12:57:01,hold
2025-07-08 12:57:12,scale_up
2025-07-08 12:57:23,hold
2025-07-08 12:57:33,hold
2025-07-08 12:57:44,hold
2025-07-08 12:57:55,hold
2025-07-08 12:58:05,hold
2025-07-08 12:58:16,hold
2025-07-08 12:58:27,scale_up
2025-07-08 12:58:37,hold
2025-07-08 12:58:48,hold
2025-07-08 12:58:58,hold
